,Num,X,Y,Dist
126,46,-838.45276145,-25.3213043995,0.00035305881262936555
127,47,-863.161266227,-31.2269279805,
128,44,-788.303680743,-23.6649578548,0.00040497053442739925
129,45,-813.255917595,-29.5211769551,7.025031952119947e-05
130,37,-663.369566587,-19.4932518199,
131,42_smpl_0,-738.236739415,-22.0099359845,
132,7020,-763.371900124,-24.5425332032,
133,7018,-738.288285668,-25.2341606164,
134,7019,-763.307553132,-26.0631496656,
135,7016,-713.194243916,-24.4006689816,
136,7017,-738.299634688,-23.7119434749,
137,7014,-688.310504517,-23.5764983554,
138,7015,-713.328971235,-22.884619533,
139,7012,-663.2960776,-21.22086385,
140,7013,-663.183299944,-22.7407737793,
141,47_smpl_1,-863.161289459,-31.2273640277,
142,7030,-863.438266354,-27.8558749767,
143,7031,-888.825805691,-30.2241754825,
144,7032,-888.909043094,-28.7024222784,
145,7033,-914.736824615,-31.0838622741,
146,7034,-914.846408998,-29.5669000518,
147,48_smpl_2,-863.766859733,-26.161656615,
148,43,-763.26951778,-27.9305545147,
149,7023,-788.334533177,-25.3709870605,
150,7022,-763.364848834,-24.5422533157,
151,7021,-763.27456528,-26.0624522463,
152,7027,-838.370924869,-27.0338219494,
153,7026,-813.351251503,-26.1989708933,
154,7025,-813.287057624,-27.7174927214,
155,7024,-788.236517039,-26.8905896103,
156,7029,-863.220329463,-29.3702668602,
157,7028,-838.254366941,-28.5499586409,
158,54,-993.146924989,-30.2058235768,0.00019688173910540683
159,51,-914.753534531,-27.717421515,1.1469534969679754e-08
160,50,-914.438939013,-32.9212553001,0.00042764886932384943
161,53,-966.189895181,-34.7892670965,0.000763177769385034
162,52,-944.55855277,-28.444321211,
163,49_smpl_0,-889.135044136,-32.0516231859,
164,59,-1093.04126938,-38.9707365392,0.001013078437758969
165,58,-1068.41224278,-32.6674831538,
166,55,-1018.22414528,-30.9528548418,0.00014712313618078687
167,57,-1043.3625483,-37.3354576483,0.00034319220925184597
168,56,-1018.04757157,-36.482165605,1.671718254346262e-05
169,61,-1146.32816176,-40.763688506,0.0006072979015868647
170,7035,-914.841761193,-29.5671122424,
171,7036,-914.743723746,-31.0840775125,
172,7037,-944.376703135,-30.5452115454,
173,7038,-944.253903606,-32.0611992115,
174,7039,-966.167203904,-32.7900250813,
175,53_smpl_0,-966.189476333,-34.7893630758,
176,7040,-966.256992898,-31.2708569616,
177,52_smpl_1,-944.558524696,-28.4434779331,
178,60,-1121.25376499,-34.3922777932,0.00029753587773847677
179,62,-1171.29536152,-36.0803541008,0.0003063532768120474
180,63,-1196.85208092,-42.4324562172,0.00043633770299834494
181,64,-1221.83511646,-37.790142694,
182,7052,-1093.22066236,-35.4838040192,
183,7050,-1068.10468051,-36.1717654005,
184,7051,-1093.1216723,-37.0025998398,
185,59_smpl_1,-1093.04097887,-38.9702818625,
186,7045,-1018.23638421,-32.995223709,
187,7044,-993.120284565,-33.6822084571,
188,7047,-1043.59506876,-35.3589009335,
189,7046,-1018.15487005,-34.5140629224,
